flight_id,algorithm,handover_count,total_latency_ms,avg_rssi,min_rssi,connection_drop_count
0,Baseline,154,8512.865042581734,-66.13373860822574,-78.50918043868411,0
0,Proposed,194,1473.7481300563813,-66.27781159628628,-79.787325153041,0
1,Baseline,141,7640.359986511696,-69.449594120353,-80.89513459286562,0
1,Proposed,587,4437.196261222881,-69.64924353998556,-84.60175504383763,0
2,Baseline,39,2205.1156067090933,-64.6055886342972,-79.76094699996378,0
2,Proposed,13,95.74637488606922,-62.68067390320315,-78.59504358971628,0
3,Baseline,105,5916.688726790377,-64.60992634129722,-78.93489502116958,0
3,Proposed,12,86.93051292216977,-62.708324643817456,-74.18771076133343,0
4,Baseline,62,3318.999320812593,-62.404611071470285,-74.3274225005628,0
4,Proposed,36,269.37083532678196,-62.570438485581285,-78.26926323025783,0
5,Baseline,143,7876.672398295694,-63.24005914880202,-80.12246312837055,0
5,Proposed,113,836.7749472921014,-60.74229743488107,-75.88953208546191,0
6,Baseline,112,6244.345321010001,-67.50622831626438,-80.15280164543974,0
6,Proposed,549,4091.402648773072,-67.92441464965961,-83.182211492866,0
7,Baseline,87,4732.494388408309,-63.57728866723434,-76.51405899836033,0
7,Proposed,90,646.5302830932563,-63.56935904452587,-78.3012016611954,0
8,Baseline,78,4159.024567787259,-63.585593404241465,-75.50637323721075,0
8,Proposed,18,136.62135148504308,-62.859746345519916,-75.68349873987925,0
9,Baseline,43,2353.45244985855,-58.85727198424664,-74.12955866999177,0
9,Proposed,107,800.2924794095982,-62.584805816463714,-78.67319551961694,0
10,Baseline,86,4790.090733931932,-60.76548261179257,-73.7341099340215,0
10,Proposed,26,187.84576094544317,-60.56348208121139,-75.44200087961013,0
11,Baseline,53,2915.1356600689396,-62.04750424818004,-75.6759348773669,0
11,Proposed,46,352.94243917700084,-62.931003762424254,-78.83548280868263,0
12,Baseline,102,5601.672363410542,-62.92480486881661,-76.96139202487271,0
12,Proposed,33,229.24088567713136,-62.750906758722486,-76.36179088918142,0
13,Baseline,133,7237.781358624295,-68.06797045428058,-83.03242986209955,0
13,Proposed,353,2654.1149034461455,-66.97740632242258,-84.724027920022,0
14,Baseline,91,4812.834522410759,-67.29400211259131,-83.70238410297327,0
14,Proposed,570,4345.886794808136,-69.02973056046719,-82.3044441736684,0
15,Baseline,135,7612.120867278406,-68.60325501779555,-82.34030107712645,0
15,Proposed,887,6645.297326225705,-70.76212927153925,-84.40195684453009,0
16,Baseline,73,3866.9518388062143,-59.183132037937746,-72.04195794221752,0
16,Proposed,5,39.644154213889934,-58.978104774129314,-74.09358890120411,0
17,Baseline,76,4148.386116546297,-67.36056701935537,-80.74437280508681,0
17,Proposed,261,1951.2734312785738,-67.14270920436111,-86.41794681109465,1
18,Baseline,79,4509.337202208101,-67.74580646867442,-79.84736302964214,0
18,Proposed,341,2592.3557550817764,-68.25023197808952,-83.09872989412854,0
19,Baseline,83,4639.536703396586,-67.11115325142703,-80.76595246383712,0
19,Proposed,119,894.1086805328958,-63.37862257416579,-81.95367120051608,0
20,Baseline,100,5530.160250049208,-69.3001615078256,-80.44606087319937,0
20,Proposed,448,3349.346880205986,-68.47502376048509,-86.13648250408605,1
21,Baseline,53,2821.521222103599,-62.97491052440892,-78.19374539485065,0
21,Proposed,22,170.03344406170473,-62.886318200799096,-75.08058575836385,0
22,Baseline,40,2272.4519892421404,-63.7375135032735,-79.94487908184522,0
22,Proposed,217,1637.917156785795,-64.49162149797384,-82.8623458528679,0
23,Baseline,92,4967.273187379889,-64.74649265600705,-80.29045777757287,0
23,Proposed,129,947.4876793458182,-61.96583935370221,-82.92299324722612,0
24,Baseline,154,8375.242630737399,-69.539389008425,-79.59206996798207,0
24,Proposed,531,3997.339259565326,-68.96793437312873,-83.69912632375038,0
25,Baseline,83,4602.4817921939075,-67.3951293503354,-80.40669704547109,0
25,Proposed,357,2638.7560199749455,-67.2824303554454,-83.18435989993839,0
26,Baseline,76,4144.453565565094,-65.33754672199248,-81.8312597485725,0
26,Proposed,498,3706.080445345615,-67.16259024444884,-83.71839804701962,0
27,Baseline,88,4926.518330344895,-64.5511538359663,-78.26635167951105,0
27,Proposed,224,1694.0672906066309,-65.77834685989086,-81.4763485362462,0
28,Baseline,167,9131.940389719002,-67.1220508302451,-77.96328396432833,0
28,Proposed,258,1980.3952203477586,-67.26795594501503,-79.18907879172394,0
29,Baseline,289,15873.654640262519,-70.36339668551544,-81.17873697362863,0
29,Proposed,669,4972.48565813901,-69.42348549788989,-83.2981223179802,0
30,Baseline,98,5404.455371012781,-61.87562764583495,-78.114543611042,0
30,Proposed,106,788.0077391678414,-62.66443624433059,-79.00737010438837,0
31,Baseline,126,6749.851897750665,-61.98975718339809,-77.67892102582422,0
31,Proposed,130,973.2653953125406,-61.70808949642108,-78.12894449590044,0
32,Baseline,46,2645.2305290926406,-65.86813923862897,-82.07287285638357,0
32,Proposed,564,4233.271368594634,-69.01525121333977,-85.34139960877465,1
33,Baseline,83,4576.144369856639,-59.412947518486106,-72.05633855130625,0
33,Proposed,4,30.491738447116795,-58.984127882854416,-71.86681893788733,0
34,Baseline,50,2771.0950567630803,-61.441033259303765,-75.07930991460873,0
34,Proposed,59,426.9153971158943,-61.33694987822002,-78.08254112556756,0
35,Baseline,54,2931.08871353024,-67.34810789989426,-82.28214288294375,0
35,Proposed,462,3488.4646134597606,-68.08773062458806,-86.23194647912695,1
36,Baseline,146,7896.989033538876,-64.71004727806158,-75.18034392964742,0
36,Proposed,34,250.07498095837477,-62.90071101688572,-78.0552097358479,0
37,Baseline,65,3607.188328782811,-65.02055675114202,-76.76800515268366,0
37,Proposed,130,982.1513774848939,-65.17390214394418,-79.4606166834879,0
38,Baseline,63,3617.71487854174,-67.41305693776218,-79.5353436023251,0
38,Proposed,220,1630.5801608094207,-63.72770648600989,-81.27172353765782,0
39,Baseline,89,4782.006448924181,-68.51992635525413,-80.89341723383279,0
39,Proposed,263,1982.3389089018158,-68.21437044299023,-81.19968663728864,0
40,Baseline,139,7618.803624383805,-67.95907362323995,-80.67414475406281,0
40,Proposed,618,4596.257011242827,-68.58382113006388,-85.53653360352054,1
41,Baseline,103,5775.096605825043,-63.374577604512936,-78.85219322413708,0
41,Proposed,281,2098.990221571158,-64.65971596856947,-81.85727050254715,0
42,Baseline,95,5146.033221200192,-64.41511524597308,-79.74385244453282,0
42,Proposed,37,283.9271854249749,-63.21041631445194,-77.49875192469779,0
43,Baseline,41,2287.2771556060334,-65.32429964217425,-74.13373392075309,0
43,Proposed,19,146.83781178777443,-65.47069846651554,-73.9642033833293,0
44,Baseline,116,6383.0539653676,-66.94477273398553,-80.08934310943035,0
44,Proposed,156,1170.883512191847,-66.28827639187648,-79.97501141232127,0
45,Baseline,81,4517.7312575153765,-66.69310835959837,-77.88059706287713,0
45,Proposed,175,1295.2857842574278,-66.7029464926211,-81.42021181662479,0
46,Baseline,63,3537.730767534441,-65.08098008872254,-77.84314617779097,0
46,Proposed,64,487.514678242089,-64.34629011586867,-78.48254108692495,0
47,Baseline,101,5415.8999563132675,-63.815592208756236,-77.52177509089758,0
47,Proposed,97,737.0379090255439,-63.80153106294395,-78.99637519989915,0
48,Baseline,138,7608.791564346342,-69.22394606565233,-79.63388101956119,0
48,Proposed,403,3008.266771435776,-68.85858350688318,-83.30691834959964,0
49,Baseline,72,4030.5463017001,-66.4867751382888,-80.63886127646032,0
49,Proposed,574,4294.91768987878,-68.44221224844671,-85.6387156334892,1
50,Baseline,121,6704.069148629731,-67.47615222007083,-85.01437714069256,1
50,Proposed,333,2494.6821381185564,-67.98954248455226,-82.36882125478304,0
51,Baseline,45,2500.7831595679813,-63.558890902926755,-74.8961115761606,0
51,Proposed,78,570.4446130454381,-64.62466833736633,-81.01637821860514,0
52,Baseline,73,3978.7517846826613,-68.74972052464128,-84.11007740628588,0
52,Proposed,674,5066.47470425378,-70.10513271522272,-85.1225202315387,1
53,Baseline,90,4917.0145915747735,-65.93061429503655,-79.69183617675473,0
53,Proposed,228,1718.2947877912388,-64.14514806439473,-84.02653548871308,0
54,Baseline,92,5091.217500945482,-66.976535089417,-80.12556192232243,0
54,Proposed,404,2991.8444208837936,-67.47355616991871,-82.62062863573598,0
55,Baseline,89,4924.11371465348,-68.16627178983653,-81.91711111917681,0
55,Proposed,518,3924.34065920677,-68.80022754816962,-85.9758621900813,1
