run_id,seed,phase,speed_profile,altitude_profile,bs_density_profile,bs_spacing_km,generated_flights,run_duration_s,policy,flight_id,origin,destination,route_length_km,speed_kmh,altitude_m,service,handover_count,radio_handover_successes,radio_handover_failures,service_continuity_successes,service_continuity_failures,ping_pong_events,precache_hits,latency_violations,mean_throughput_mbps,mean_sinr_db,total_interruption_ms,completed,service_handover_count,handover_failure_rate,is_high_speed,is_high_altitude,is_dense
205,11,maturity,high,low,sparse,5.5,31,1800.0,proactive,11,IncheonHub,GimpoHub,8.25,213.75,300.0,remote_uav_hd_control,4,2,2,0,4,1,0,152,12.78,8.65,140.0,1,4,0.5,1,0,0
209,11,maturity,high,mid,sparse,5.5,31,1800.0,proactive,11,IncheonHub,GimpoHub,8.25,213.75,450.0,remote_uav_hd_control,4,2,2,0,4,1,0,153,12.71,7.41,140.0,1,4,0.5,1,0,0
213,11,maturity,high,high,sparse,5.5,31,1800.0,proactive,11,IncheonHub,GimpoHub,8.25,213.75,600.0,remote_uav_hd_control,4,2,2,0,4,1,0,154,12.61,7.04,140.0,1,4,0.5,1,1,0
181,11,maturity,low,low,sparse,5.5,31,1800.0,proactive,15,IncheonHub,GimpoHub,8.25,138.79,300.0,remote_uav_hd_control,6,4,2,0,6,0,0,234,12.84,8.99,210.0,1,6,0.3333333333333333,0,0,0
185,11,maturity,low,mid,sparse,5.5,31,1800.0,proactive,15,IncheonHub,GimpoHub,8.25,138.79,450.0,remote_uav_hd_control,6,4,2,0,6,0,0,236,12.74,7.69,210.0,1,6,0.3333333333333333,0,0,0
209,11,maturity,high,mid,sparse,5.5,31,1800.0,proactive,15,IncheonHub,GimpoHub,8.25,212.89,450.0,remote_uav_hd_control,6,4,2,0,6,0,0,156,12.67,7.34,210.0,1,6,0.3333333333333333,1,0,0
213,11,maturity,high,high,sparse,5.5,31,1800.0,proactive,15,IncheonHub,GimpoHub,8.25,212.89,600.0,remote_uav_hd_control,6,4,2,0,6,0,0,157,12.56,6.94,210.0,1,6,0.3333333333333333,1,1,0
181,11,maturity,low,low,sparse,5.5,31,1800.0,proactive,17,IncheonHub,GimpoHub,8.25,137.24,300.0,remote_uav_hd_control,7,5,2,0,7,0,0,238,12.89,9.32,245.0,1,7,0.2857142857142857,0,0,0
193,11,maturity,medium,low,sparse,5.5,31,1800.0,proactive,17,IncheonHub,GimpoHub,8.25,175.87,300.0,remote_uav_hd_control,7,5,2,0,7,0,0,187,12.83,8.85,245.0,1,7,0.2857142857142857,0,0,0
197,11,maturity,medium,mid,sparse,5.5,31,1800.0,proactive,17,IncheonHub,GimpoHub,8.25,175.87,450.0,remote_uav_hd_control,7,5,2,0,7,0,0,188,12.75,7.62,245.0,1,7,0.2857142857142857,0,0,0
205,11,maturity,high,low,sparse,5.5,31,1800.0,proactive,17,IncheonHub,GimpoHub,8.25,210.18,300.0,remote_uav_hd_control,7,5,2,0,7,0,0,157,12.84,8.79,245.0,1,7,0.2857142857142857,1,0,0
189,11,maturity,low,high,sparse,5.5,31,1800.0,proactive,15,IncheonHub,GimpoHub,8.25,138.79,600.0,remote_uav_hd_control,8,6,2,0,8,1,0,240,12.63,7.36,280.0,1,8,0.25,0,1,0
201,11,maturity,medium,high,sparse,5.5,31,1800.0,proactive,17,IncheonHub,GimpoHub,8.25,175.87,600.0,remote_uav_hd_control,8,6,2,0,8,0,0,190,12.67,7.33,280.0,1,8,0.25,0,1,0
103,7,maturity,high,mid,dense,3.0,31,1800.0,proactive,12,GimpoCity,Yeouido,12.53,192.19,450.0,remote_uav_hd_control,8,6,2,0,8,0,1,387,7.34,-2.12,257.0,1,8,0.25,1,0,1
181,11,maturity,low,low,sparse,5.5,31,1800.0,proactive,11,IncheonHub,GimpoHub,8.25,139.29,300.0,remote_uav_hd_control,4,3,1,0,4,1,0,231,12.89,9.14,140.0,1,4,0.25,0,0,0
185,11,maturity,low,mid,sparse,5.5,31,1800.0,proactive,11,IncheonHub,GimpoHub,8.25,139.29,450.0,remote_uav_hd_control,4,3,1,0,4,1,0,232,12.82,7.92,140.0,1,4,0.25,0,0,0
99,7,maturity,high,low,dense,3.0,31,1800.0,proactive,12,GimpoCity,Yeouido,12.53,192.19,300.0,remote_uav_hd_control,9,7,2,0,9,0,1,372,8.31,-0.59,292.0,1,9,0.2222222222222222,1,0,1
189,11,maturity,low,high,sparse,5.5,31,1800.0,proactive,11,IncheonHub,GimpoHub,8.25,139.29,600.0,remote_uav_hd_control,5,4,1,0,5,2,0,236,12.66,7.47,175.0,1,5,0.2,0,1,0
193,11,maturity,medium,low,sparse,5.5,31,1800.0,proactive,11,IncheonHub,GimpoHub,8.25,178.93,300.0,remote_uav_hd_control,5,4,1,0,5,0,0,182,12.79,8.8,175.0,1,5,0.2,0,0,0
197,11,maturity,medium,mid,sparse,5.5,31,1800.0,proactive,11,IncheonHub,GimpoHub,8.25,178.93,450.0,remote_uav_hd_control,5,4,1,0,5,0,0,184,12.67,7.5,175.0,1,5,0.2,0,0,0
201,11,maturity,medium,high,sparse,5.5,31,1800.0,proactive,11,IncheonHub,GimpoHub,8.25,178.93,600.0,remote_uav_hd_control,5,4,1,0,5,0,0,185,12.58,7.14,175.0,1,5,0.2,0,1,0
87,7,maturity,medium,low,dense,3.0,31,1800.0,proactive,12,GimpoCity,Yeouido,12.53,160.45,300.0,remote_uav_hd_control,6,5,1,0,6,0,0,443,8.42,-0.16,210.0,1,6,0.16666666666666666,0,0,1
151,11,growth,low,mid,dense,3.0,31,1800.0,proactive,18,IncheonHub,GimpoHub,8.25,137.24,450.0,remote_uav_hd_control,6,5,1,0,6,2,0,335,9.05,3.12,210.0,1,6,0.16666666666666666,0,0,1
155,11,growth,low,high,dense,3.0,31,1800.0,proactive,9,IncheonHub,GimpoHub,8.25,132.95,600.0,remote_uav_hd_control,6,5,1,0,6,2,0,380,7.67,0.28,210.0,1,6,0.16666666666666666,0,1,1
189,11,maturity,low,high,sparse,5.5,31,1800.0,proactive,17,IncheonHub,GimpoHub,8.25,137.24,600.0,remote_uav_hd_control,6,5,1,0,6,0,0,240,12.69,7.61,210.0,1,6,0.16666666666666666,0,1,0
193,11,maturity,medium,low,sparse,5.5,31,1800.0,proactive,15,IncheonHub,GimpoHub,8.25,178.19,300.0,remote_uav_hd_control,6,5,1,0,6,1,0,184,12.86,9.15,210.0,1,6,0.16666666666666666,0,0,0
197,11,maturity,medium,mid,sparse,5.5,31,1800.0,proactive,15,IncheonHub,GimpoHub,8.25,178.19,450.0,remote_uav_hd_control,6,5,1,0,6,1,0,185,12.78,7.91,210.0,1,6,0.16666666666666666,0,0,0
201,11,maturity,medium,high,sparse,5.5,31,1800.0,proactive,15,IncheonHub,GimpoHub,8.25,178.19,600.0,remote_uav_hd_control,6,5,1,0,6,1,0,186,12.68,7.54,210.0,1,6,0.16666666666666666,0,1,0
205,11,maturity,high,low,sparse,5.5,31,1800.0,proactive,15,IncheonHub,GimpoHub,8.25,212.89,300.0,remote_uav_hd_control,6,5,1,0,6,1,0,155,12.79,8.95,210.0,1,6,0.16666666666666666,1,0,0
159,11,growth,medium,low,dense,3.0,31,1800.0,proactive,18,IncheonHub,GimpoHub,8.25,175.87,300.0,remote_uav_hd_control,6,5,1,1,5,2,1,244,9.88,5.49,187.0,1,6,0.16666666666666666,0,0,1
163,11,growth,medium,mid,dense,3.0,31,1800.0,proactive,18,IncheonHub,GimpoHub,8.25,175.87,450.0,remote_uav_hd_control,6,5,1,1,5,2,1,263,8.8,2.58,187.0,1,6,0.16666666666666666,0,0,1
163,11,growth,medium,mid,dense,3.0,31,1800.0,proactive,25,IncheonHub,GimpoHub,8.25,172.53,450.0,remote_uav_hd_control,6,5,1,0,6,2,1,268,8.99,3.04,187.0,1,6,0.16666666666666666,0,0,1
