phase,policy,run_index,total_interruption_ms,total_handovers,ping_pong_events,service_success_rate_pct
growth,proactive,1,13969.0,407,139,2.9484029484029484
growth,proactive,2,16122.0,481,153,6.029106029106029
growth,proactive,3,14529.0,423,141,2.8368794326241136
growth,proactive,4,16842.0,495,162,3.8383838383838382
growth,proactive,5,14830.0,427,139,1.1709601873536302
growth,proactive,6,18356.0,533,177,2.0637898686679175
growth,proactive,7,13819.0,406,150,4.1871921182266005
growth,proactive,8,15417.0,474,163,10.337552742616033
growth,proactive,9,13923.0,407,148,3.43980343980344
growth,proactive,10,16858.0,504,187,6.349206349206349
growth,proactive,11,14166.0,410,141,1.951219512195122
growth,proactive,12,17859.0,528,193,4.734848484848484
growth,proactive,13,12944.0,381,141,4.4619422572178475
growth,proactive,14,15046.0,468,161,11.752136752136751
growth,proactive,15,13515.0,396,153,3.787878787878788
growth,proactive,16,16617.0,505,193,8.712871287128712
growth,proactive,17,13758.0,399,158,2.2556390977443606
growth,proactive,18,18024.0,536,198,5.597014925373134
growth,proactive,19,11984.0,347,79,2.0172910662824206
growth,proactive,20,19536.0,570,181,3.1578947368421053
growth,proactive,21,12789.0,370,85,1.891891891891892
growth,proactive,22,20772.0,604,199,2.6490066225165565
growth,proactive,23,13991.0,405,106,1.9753086419753085
growth,proactive,24,21121.0,612,185,2.1241830065359477
growth,proactive,25,12220.0,359,95,4.178272980501393
growth,proactive,26,18926.0,569,183,7.029876977152901
growth,proactive,27,13328.0,390,112,3.5897435897435894
growth,proactive,28,19799.0,590,187,5.762711864406779
growth,proactive,29,13432.0,391,107,2.813299232736573
growth,proactive,30,19970.0,587,168,3.747870528109029
growth,proactive,31,11685.0,347,99,5.763688760806916
growth,proactive,32,17881.0,549,165,9.65391621129326
growth,proactive,33,12956.0,382,109,4.712041884816754
growth,proactive,34,19206.0,577,181,6.759098786828423
growth,proactive,35,13738.0,405,123,4.691358024691358
growth,proactive,36,19578.0,585,168,5.982905982905983
growth,reactive,1,161778.28,1484,970,0.0
growth,reactive,2,163244.3,1502,980,0.0
growth,reactive,3,166680.18,1535,986,0.0
growth,reactive,4,178014.11,1626,1058,0.0
growth,reactive,5,174002.0,1585,1084,0.0
growth,reactive,6,200786.96,1813,1171,0.0
growth,reactive,7,129685.42,1192,784,0.0
growth,reactive,8,126434.79,1176,709,0.0
growth,reactive,9,133493.41,1232,817,0.0
growth,reactive,10,144251.46,1323,805,0.0
growth,reactive,11,140358.98,1293,814,0.0
growth,reactive,12,158256.09,1441,871,0.0
growth,reactive,13,115322.11,1066,654,0.0
growth,reactive,14,114660.56,1067,610,0.0
growth,reactive,15,115186.03,1061,690,0.0
growth,reactive,16,128272.6,1183,700,0.0
growth,reactive,17,116310.86,1069,690,0.0
growth,reactive,18,138722.75,1269,726,0.0
growth,reactive,19,200288.21,1797,1238,0.0
growth,reactive,20,192651.88,1801,1214,0.0
growth,reactive,21,207384.78,1864,1298,0.0
growth,reactive,22,199038.6,1843,1212,0.0
growth,reactive,23,213363.94,1920,1325,0.0
growth,reactive,24,224173.62,2054,1345,0.0
growth,reactive,25,161391.24,1460,967,0.0
growth,reactive,26,156144.46,1472,906,0.0
growth,reactive,27,162564.3,1465,990,0.0
growth,reactive,28,165930.52,1544,950,0.0
growth,reactive,29,162786.68,1467,987,0.0
growth,reactive,30,182652.1,1679,1042,0.0
growth,reactive,31,138223.11,1252,818,0.0
growth,reactive,32,133155.81,1254,744,0.0
