analysis_scope,policy,phase,speed_profile,altitude_profile,bs_density_profile,origin,destination,run_id,flight_id,speed_kmh,altitude_m,service_handover_count,handover_attempts,radio_handover_failures,handover_failure_rate_pct
overall,proactive,,,,,,,,,,,,51054,552,1.0812081325655187
overall,reactive,,,,,,,,,,,,157838,0,0.0
by_phase,proactive,growth,,,,,,,,,,,16819,125,0.7432070872227837
by_phase,reactive,growth,,,,,,,,,,,52246,0,0.0
by_phase,proactive,introduction,,,,,,,,,,,12031,35,0.29091513589892776
by_phase,reactive,introduction,,,,,,,,,,,40261,0,0.0
by_phase,proactive,maturity,,,,,,,,,,,22204,392,1.7654476670870116
by_phase,reactive,maturity,,,,,,,,,,,65331,0,0.0
by_speed_profile,proactive,,high,,,,,,,,,,16715,201,1.2025127131319175
by_speed_profile,reactive,,high,,,,,,,,,,44472,0,0.0
by_speed_profile,proactive,,low,,,,,,,,,,17441,178,1.0205836821283183
by_speed_profile,reactive,,low,,,,,,,,,,62550,0,0.0
by_speed_profile,proactive,,medium,,,,,,,,,,16898,173,1.0237897976091845
by_speed_profile,reactive,,medium,,,,,,,,,,50816,0,0.0
by_altitude_profile,proactive,,,high,,,,,,,,,17675,175,0.9900990099009901
by_altitude_profile,reactive,,,high,,,,,,,,,55946,0,0.0
by_altitude_profile,proactive,,,low,,,,,,,,,16382,188,1.14760102551581
by_altitude_profile,reactive,,,low,,,,,,,,,49414,0,0.0
by_altitude_profile,proactive,,,mid,,,,,,,,,16997,189,1.1119609342825205
by_altitude_profile,reactive,,,mid,,,,,,,,,52478,0,0.0
by_bs_density_profile,proactive,,,,dense,,,,,,,,29672,312,1.051496360204907
by_bs_density_profile,reactive,,,,dense,,,,,,,,84391,0,0.0
by_bs_density_profile,proactive,,,,sparse,,,,,,,,21382,240,1.1224394350388178
by_bs_density_profile,reactive,,,,sparse,,,,,,,,73447,0,0.0
proactive_top10_flights,proactive,maturity,high,low,sparse,IncheonHub,GimpoHub,205.0,11.0,213.75,300.0,4.0,4,2,50.0
proactive_top10_flights,proactive,maturity,high,mid,sparse,IncheonHub,GimpoHub,209.0,11.0,213.75,450.0,4.0,4,2,50.0
proactive_top10_flights,proactive,maturity,high,high,sparse,IncheonHub,GimpoHub,213.0,11.0,213.75,600.0,4.0,4,2,50.0
proactive_top10_flights,proactive,maturity,low,low,sparse,IncheonHub,GimpoHub,181.0,15.0,138.79,300.0,6.0,6,2,33.33333333333333
proactive_top10_flights,proactive,maturity,low,mid,sparse,IncheonHub,GimpoHub,185.0,15.0,138.79,450.0,6.0,6,2,33.33333333333333
proactive_top10_flights,proactive,maturity,high,mid,sparse,IncheonHub,GimpoHub,209.0,15.0,212.89,450.0,6.0,6,2,33.33333333333333
proactive_top10_flights,proactive,maturity,high,high,sparse,IncheonHub,GimpoHub,213.0,15.0,212.89,600.0,6.0,6,2,33.33333333333333
proactive_top10_flights,proactive,maturity,low,low,sparse,IncheonHub,GimpoHub,181.0,17.0,137.24,300.0,7.0,7,2,28.57142857142857
proactive_top10_flights,proactive,maturity,medium,low,sparse,IncheonHub,GimpoHub,193.0,17.0,175.87,300.0,7.0,7,2,28.57142857142857
proactive_top10_flights,proactive,maturity,medium,mid,sparse,IncheonHub,GimpoHub,197.0,17.0,175.87,450.0,7.0,7,2,28.57142857142857
