run_id,seed,phase,speed_profile,altitude_profile,bs_density_profile,bs_spacing_km,generated_flights,run_duration_s,policy,completed_flights,total_flights,total_handovers,handover_attempts,radio_handover_successes,radio_handover_failures,service_continuity_successes,service_continuity_failures,ping_pong_events,control_latency_violations,precache_hits,mean_throughput_mbps,mean_sinr_db,total_interruption_ms
0,7,introduction,low,low,sparse,5.5,31,1800.0,reactive,31,31,1106,1106,1106,0,0,1106,833,12901,0,12.1,8.4,122235.84
1,7,introduction,low,low,sparse,5.5,31,1800.0,proactive,31,31,265,265,265,0,9,256,124,12086,9,11.9,8.1,9068.0
2,7,introduction,low,low,dense,3.0,31,1800.0,reactive,31,31,978,978,978,0,0,978,618,14499,0,10.88,5.97,104366.56
3,7,introduction,low,low,dense,3.0,31,1800.0,proactive,31,31,355,355,355,0,12,343,111,13841,12,10.2,5.0,12149.0
4,7,introduction,low,mid,sparse,5.5,31,1800.0,reactive,31,31,1142,1142,1142,0,0,1142,835,13202,0,11.83,7.02,125429.43
5,7,introduction,low,mid,sparse,5.5,31,1800.0,proactive,31,31,271,271,271,0,8,263,129,12334,8,11.62,6.71,9301.0
6,7,introduction,low,mid,dense,3.0,31,1800.0,reactive,31,31,1156,1156,1156,0,0,1156,775,15337,0,10.0,3.81,123093.06
7,7,introduction,low,mid,dense,3.0,31,1800.0,proactive,31,31,386,386,386,0,6,380,141,14590,6,9.38,2.92,13372.0
8,7,introduction,low,high,sparse,5.5,31,1800.0,reactive,31,31,1181,1181,1181,0,0,1181,872,13613,0,11.48,6.05,129089.57
9,7,introduction,low,high,sparse,5.5,31,1800.0,proactive,31,31,276,276,276,0,7,269,132,12719,7,11.27,5.75,9499.0
10,7,introduction,low,high,dense,3.0,31,1800.0,reactive,31,31,1288,1288,1288,0,0,1288,916,16025,0,9.19,2.08,137647.26
11,7,introduction,low,high,dense,3.0,31,1800.0,proactive,31,31,385,385,385,0,3,382,136,15126,3,8.58,1.18,13406.0
12,7,introduction,medium,low,sparse,5.5,31,1800.0,reactive,31,31,879,879,879,0,0,879,598,10075,0,12.13,8.41,95493.51
13,7,introduction,medium,low,sparse,5.5,31,1800.0,proactive,31,31,242,242,242,0,9,233,109,9453,9,11.84,7.97,8263.0
14,7,introduction,medium,low,dense,3.0,31,1800.0,reactive,31,31,829,829,829,0,0,829,509,11320,0,10.94,6.04,87778.51
15,7,introduction,medium,low,dense,3.0,31,1800.0,proactive,31,31,338,338,337,1,17,321,105,10772,17,9.99,4.65,11439.0
16,7,introduction,medium,mid,sparse,5.5,31,1800.0,reactive,31,31,913,913,913,0,0,913,629,10309,0,11.84,7.01,99410.86
17,7,introduction,medium,mid,sparse,5.5,31,1800.0,proactive,31,31,248,248,248,0,6,242,114,9663,6,11.56,6.59,8542.0
18,7,introduction,medium,mid,dense,3.0,31,1800.0,reactive,31,31,905,905,905,0,0,905,575,11924,0,10.06,3.89,95941.08
